ID,Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
105101,Ivn San Miguel Prez,M,23,5.6,154,Spain,2008,Gymnastics Men's Individual All-Around,NA
105112,Makiko Sanada,F,15,5,90,Japan,1988,Gymnastics Women's Individual All-Around,NA
105227,Nathalia Snchez Crdenas,F,16,4.5,84,Colombia,2008,Gymnastics Women's Individual All-Around,NA
105235,"Josefa ""Pepita"" Snchez Soler",F,20,4.9,97,Spain,1972,Gymnastics Women's Individual All-Around,NA
105272,Ingrid Clara Charlotta Sandahl (-Sundell),F,23,NA,NA,Sweden,1948,Gymnastics Women's Team All-Around,NA
105281,Gro Margit Sandberg,F,16,5.4,110,Norway,1972,Gymnastics Women's Individual All-Around,NA
105299,Karl Viktor Torsten Sandelin,M,20,NA,NA,Finland,1908,Gymnastics Men's Team All-Around,Bronze
105371,Agustn Sandoval Murillo,M,24,5.5,141,Spain,1972,Gymnastics Men's Individual All-Around,NA
105386,Silvaine Gustave Sandras,M,28,NA,NA,France,1900,Gymnastics Men's Individual All-Around,Gold
105387,Louis Sandray,M,NA,NA,NA,France,1908,Gymnastics Men's Team All-Around,NA
105389,Nistor andro,M,21,5.5,137,Romania,1996,Gymnastics Men's Individual All-Around,NA
105413,Adrian Sandu,M,21,5.6,139,Romania,1988,Gymnastics Men's Individual All-Around,NA
105420,Bergljot Sandvik-Johansen,F,30,5.5,128,Norway,1952,Gymnastics Women's Individual All-Around,NA
105557,Gabriella Santarelli,F,24,5.1,119,Italy,1960,Gymnastics Women's Individual All-Around,NA
105567,Ingrid Santer,F,17,5.2,95,West Germany,1972,Gymnastics Women's Individual All-Around,NA
105573,Lajos Sntha,M,33,NA,NA,Hungary,1948,Gymnastics Men's Individual All-Around,NA
105603,Elena Santoni,F,NA,NA,NA,Italy,1948,Gymnastics Women's Team All-Around,NA
105699,Heikki Juhani Sappinen,M,22,5.3,141,Finland,1968,Gymnastics Men's Individual All-Around,NA
105700,Tuovi Inkeri Sappinen (-Cochrane),F,19,5.2,110,Finland,1960,Gymnastics Women's Individual All-Around,NA
105704,Jevgijs Saproenko,M,25,5.6,143,Latvia,2004,Gymnastics Men's Individual All-Around,NA
105727,Flvia Lopes Saraiva,F,16,4.4,68,Brazil,2016,Gymnastics Women's Individual All-Around,NA
105780,Norayr Sargsyan,M,21,5.4,137,Armenia,1996,Gymnastics Men's Individual All-Around,NA
105801,Katarna arisk (-Mulders),F,14,5.7,97,Czechoslovakia,1980,Gymnastics Women's Individual All-Around,NA
105806,Istvn Srkny,M,22,NA,NA,Hungary,1936,Gymnastics Men's Individual All-Around,NA
105816,Jzsef Sarls (Starkbauer-),M,27,NA,NA,Hungary,1936,Gymnastics Men's Individual All-Around,NA
105834,Klas Johan Gustaf Srner,M,28,NA,NA,Sweden,1920,"Gymnastics Men's Team All-Around, Swedish System",Gold
105918,Srgio Yoshio Sasaki Jnior,M,20,5.3,141,Brazil,2012,Gymnastics Men's Individual All-Around,NA
105936,Toshihiko Sasano,M,20,NA,NA,Japan,1932,Gymnastics Men's Individual All-Around,NA
106044,Toshiharu Sato,M,19,5.6,137,Japan,1988,Gymnastics Men's Individual All-Around,NA
106097,Fritz Sauer,M,NA,NA,NA,Germany,1900,Gymnastics Men's Individual All-Around,NA
106111,Anita auerov,F,17,5.3,110,Czechoslovakia,1980,Gymnastics Women's Individual All-Around,NA
106156,"Johann ""Hans"" Sauter",M,23,NA,NA,Austria,1948,Gymnastics Men's Individual All-Around,NA
106224,Denis Vladimirovich Savenkov,M,20,5.4,132,Belarus,2004,Gymnastics Men's Individual All-Around,NA
106280,Dmitry Savitsky,M,24,5.5,139,Belarus,2008,Gymnastics Men's Individual All-Around,NA
106296,Heikki Ilmari Savolainen,M,20,5.6,141,Finland,1928,Gymnastics Men's Individual All-Around,NA
106305,Ugo Savonuzzi,M,20,NA,NA,Italy,1908,Gymnastics Men's Team All-Around,NA
106307,Luciano Savorini,M,26,NA,NA,Italy,1912,Gymnastics Men's Team All-Around,Gold
106401,Irina Sazonova,F,24,5.2,121,Iceland,2016,Gymnastics Women's Individual All-Around,NA
106406,Frithjof Olsen Slen,M,19,NA,NA,Norway,1912,"Gymnastics Men's Team All-Around, Free System",Gold
106464,Liliana Scaricabarozzi,F,17,NA,NA,Italy,1952,Gymnastics Women's Individual All-Around,NA
106501,Schaan,M,NA,NA,NA,France,1900,Gymnastics Men's Individual All-Around,NA
106553,Pauline Sieglinde Schfer,F,19,5.3,121,Germany,2016,Gymnastics Women's Team All-Around,NA
106604,Christoph Schrer,M,23,5.7,146,Switzerland,2004,Gymnastics Men's Individual All-Around,NA
106646,Sophie Celina Scheder,F,19,5.5,123,Germany,2016,Gymnastics Women's Individual All-Around,NA
106664,Adolf Scheffknecht,M,21,NA,NA,Austria,1936,Gymnastics Men's Individual All-Around,NA
106757,mile Scherb,M,NA,NA,NA,France,1900,Gymnastics Men's Individual All-Around,NA
106823,Frank Schicke,M,NA,NA,NA,United States,1904,Gymnastics Men's Individual All-Around,NA
106828,Bettina Schieferdecker,F,20,5.4,117,East Germany,1988,Gymnastics Women's Individual All-Around,NA
106839,Gretel Schiener,F,20,5.6,108,Germany,1960,Gymnastics Women's Individual All-Around,NA
106849,Helen Mary Schifano (-Sjursen),F,26,NA,NA,United States,1948,Gymnastics Women's Team All-Around,Bronze
106865,Antoine Schildwein,M,24,NA,NA,France,1936,Gymnastics Men's Individual All-Around,NA
106912,Ernst Adolf Schirmer,M,25,NA,NA,Germany,1906,Gymnastics Men's Individual All-Around,NA
106914,istein Schirmer,M,33,NA,NA,Norway,1912,"Gymnastics Men's Team All-Around, Free System",Gold
107018,Richarda Schmeier (-Hartmann),F,18,5.2,101,East Germany,1972,Gymnastics Women's Individual All-Around,NA
107104,Iohan Schmidt,M,26,NA,NA,Romania,1936,Gymnastics Men's Individual All-Around,NA
107113,Magdalena Schmidt (-Jakob),F,19,5.2,110,East Germany,1968,Gymnastics Women's Individual All-Around,NA
107187,Arthur Ferdinand Adam Schmitt,M,41,NA,NA,Saar,1952,Gymnastics Men's Individual All-Around,NA
107188,Christine Schmitt (-Dressel),F,19,5.6,119,East Germany,1972,Gymnastics Women's Individual All-Around,NA
107192,tienne Schmitt,M,NA,NA,NA,France,1928,Gymnastics Men's Individual All-Around,NA
107195,Johan Henri Antoine Gerrit Schmitt,M,26,NA,NA,Netherlands,1908,Gymnastics Men's Team All-Around,NA
107198,Julie Schmitt (-Knabel),F,23,NA,NA,Germany,1936,Gymnastics Women's Team All-Around,Gold
107211,Julian Frank Schmitz,M,22,NA,NA,United States,1904,Gymnastics Men's Individual All-Around,NA
107213,Pierre Schmitz,M,28,NA,NA,Luxembourg,1948,Gymnastics Men's Individual All-Around,NA
107217,douard Schmoll,M,18,NA,NA,France,1908,Gymnastics Men's Team All-Around,NA
107227,Camille Schmutz,F,15,4.9,90,France,2004,Gymnastics Women's Individual All-Around,NA
107288,Renate Schneider,F,21,5.2,110,Germany,1960,Gymnastics Women's Individual All-Around,NA
107423,Anke Schnfelder,F,16,5.3,101,Germany,1992,Gymnastics Women's Individual All-Around,NA
107459,Uta Schorn (-Freise),F,15,5.2,95,West Germany,1972,Gymnastics Women's Individual All-Around,NA
107483,"Rudolf ""Rudy"" Schrader",M,29,NA,NA,United States,1904,Gymnastics Men's Individual All-Around,NA
107484,Willard August Schrader,M,21,NA,NA,United States,1904,Gymnastics Men's Individual All-Around,NA
107488,Edeltraud Schramm (-Grossfurthner),F,24,NA,NA,Austria,1948,Gymnastics Women's Team All-Around,NA
